character,death_year,type,source,question,year,is_test
Elvis Presley,1977,real_person,none,What is the 9th year of the 44th president of the United States?,2017,False
Elvis Presley,1977,real_person,none,What is the 1st year of the 45th president of the United States?,2017,False
Elvis Presley,1977,real_person,none,What is the 2nd year of the 45th president of the United States?,2018,False
Elvis Presley,1977,real_person,none,What is the 3rd year of the 45th president of the United States?,2019,False
Elvis Presley,1977,real_person,none,What is the 4th year of the 45th president of the United States?,2020,False
Elvis Presley,1977,real_person,none,What is the 5th year of the 45th president of the United States?,2021,False
Enzo Ferrari,1988,real_person,none,What is the 1st year of the 1th president of the United States?,1789,False
Enzo Ferrari,1988,real_person,none,What is the 2nd year of the 1th president of the United States?,1790,False
Enzo Ferrari,1988,real_person,none,What is the 3rd year of the 1th president of the United States?,1791,False
Enzo Ferrari,1988,real_person,none,What is the 4th year of the 1th president of the United States?,1792,False
Enzo Ferrari,1988,real_person,none,What is the 5th year of the 1th president of the United States?,1793,False
Enzo Ferrari,1988,real_person,none,What is the 6th year of the 1th president of the United States?,1794,False
Enzo Ferrari,1988,real_person,none,What is the 7th year of the 1th president of the United States?,1795,False
Enzo Ferrari,1988,real_person,none,What is the 8th year of the 1th president of the United States?,1796,False
Enzo Ferrari,1988,real_person,none,What is the 9th year of the 1th president of the United States?,1797,False
Enzo Ferrari,1988,real_person,none,What is the 1st year of the 2th president of the United States?,1797,False
Enzo Ferrari,1988,real_person,none,What is the 2nd year of the 2th president of the United States?,1798,False
Enzo Ferrari,1988,real_person,none,What is the 3rd year of the 2th president of the United States?,1799,False
Enzo Ferrari,1988,real_person,none,What is the 4th year of the 2th president of the United States?,1800,False
Enzo Ferrari,1988,real_person,none,What is the 5th year of the 2th president of the United States?,1801,False
Enzo Ferrari,1988,real_person,none,What is the 1st year of the 3th president of the United States?,1801,False
Enzo Ferrari,1988,real_person,none,What is the 2nd year of the 3th president of the United States?,1802,False
Enzo Ferrari,1988,real_person,none,What is the 3rd year of the 3th president of the United States?,1803,False
Enzo Ferrari,1988,real_person,none,What is the 4th year of the 3th president of the United States?,1804,False
Enzo Ferrari,1988,real_person,none,What is the 5th year of the 3th president of the United States?,1805,False
Enzo Ferrari,1988,real_person,none,What is the 6th year of the 3th president of the United States?,1806,False
Enzo Ferrari,1988,real_person,none,What is the 7th year of the 3th president of the United States?,1807,False
Enzo Ferrari,1988,real_person,none,What is the 8th year of the 3th president of the United States?,1808,False
Enzo Ferrari,1988,real_person,none,What is the 9th year of the 3th president of the United States?,1809,False
Enzo Ferrari,1988,real_person,none,What is the 1st year of the 4th president of the United States?,1809,False
Enzo Ferrari,1988,real_person,none,What is the 2nd year of the 4th president of the United States?,1810,False
Enzo Ferrari,1988,real_person,none,What is the 3rd year of the 4th president of the United States?,1811,False
Enzo Ferrari,1988,real_person,none,What is the 4th year of the 4th president of the United States?,1812,False
Enzo Ferrari,1988,real_person,none,What is the 5th year of the 4th president of the United States?,1813,False
Enzo Ferrari,1988,real_person,none,What is the 6th year of the 4th president of the United States?,1814,False
Enzo Ferrari,1988,real_person,none,What is the 7th year of the 4th president of the United States?,1815,False
Enzo Ferrari,1988,real_person,none,What is the 8th year of the 4th president of the United States?,1816,False
Enzo Ferrari,1988,real_person,none,What is the 9th year of the 4th president of the United States?,1817,False
Enzo Ferrari,1988,real_person,none,What is the 1st year of the 5th president of the United States?,1817,False
Enzo Ferrari,1988,real_person,none,What is the 2nd year of the 5th president of the United States?,1818,False
Enzo Ferrari,1988,real_person,none,What is the 3rd year of the 5th president of the United States?,1819,False
Enzo Ferrari,1988,real_person,none,What is the 4th year of the 5th president of the United States?,1820,False
Enzo Ferrari,1988,real_person,none,What is the 5th year of the 5th president of the United States?,1821,False
Enzo Ferrari,1988,real_person,none,What is the 6th year of the 5th president of the United States?,1822,False
Enzo Ferrari,1988,real_person,none,What is the 7th year of the 5th president of the United States?,1823,False
Enzo Ferrari,1988,real_person,none,What is the 8th year of the 5th president of the United States?,1824,False
Enzo Ferrari,1988,real_person,none,What is the 9th year of the 5th president of the United States?,1825,False
Enzo Ferrari,1988,real_person,none,What is the 1st year of the 6th president of the United States?,1825,False
Enzo Ferrari,1988,real_person,none,What is the 2nd year of the 6th president of the United States?,1826,False
Enzo Ferrari,1988,real_person,none,What is the 3rd year of the 6th president of the United States?,1827,False
Enzo Ferrari,1988,real_person,none,What is the 4th year of the 6th president of the United States?,1828,False
Enzo Ferrari,1988,real_person,none,What is the 5th year of the 6th president of the United States?,1829,False
Enzo Ferrari,1988,real_person,none,What is the 1st year of the 7th president of the United States?,1829,False
Enzo Ferrari,1988,real_person,none,What is the 2nd year of the 7th president of the United States?,1830,False
Enzo Ferrari,1988,real_person,none,What is the 3rd year of the 7th president of the United States?,1831,False
Enzo Ferrari,1988,real_person,none,What is the 4th year of the 7th president of the United States?,1832,False
Enzo Ferrari,1988,real_person,none,What is the 5th year of the 7th president of the United States?,1833,False
Enzo Ferrari,1988,real_person,none,What is the 6th year of the 7th president of the United States?,1834,False
Enzo Ferrari,1988,real_person,none,What is the 7th year of the 7th president of the United States?,1835,False
Enzo Ferrari,1988,real_person,none,What is the 8th year of the 7th president of the United States?,1836,False
Enzo Ferrari,1988,real_person,none,What is the 9th year of the 7th president of the United States?,1837,False
Enzo Ferrari,1988,real_person,none,What is the 1st year of the 8th president of the United States?,1837,False
Enzo Ferrari,1988,real_person,none,What is the 2nd year of the 8th president of the United States?,1838,False
Enzo Ferrari,1988,real_person,none,What is the 3rd year of the 8th president of the United States?,1839,False
Enzo Ferrari,1988,real_person,none,What is the 4th year of the 8th president of the United States?,1840,False
Enzo Ferrari,1988,real_person,none,What is the 5th year of the 8th president of the United States?,1841,False
Enzo Ferrari,1988,real_person,none,What is the 1st year of the 9th president of the United States?,1841,False
Enzo Ferrari,1988,real_person,none,What is the 1st year of the 10th president of the United States?,1841,False
Enzo Ferrari,1988,real_person,none,What is the 2nd year of the 10th president of the United States?,1842,False
Enzo Ferrari,1988,real_person,none,What is the 3rd year of the 10th president of the United States?,1843,False
Enzo Ferrari,1988,real_person,none,What is the 4th year of the 10th president of the United States?,1844,False
Enzo Ferrari,1988,real_person,none,What is the 5th year of the 10th president of the United States?,1845,False
Enzo Ferrari,1988,real_person,none,What is the 1st year of the 11th president of the United States?,1845,False
Enzo Ferrari,1988,real_person,none,What is the 2nd year of the 11th president of the United States?,1846,False
Enzo Ferrari,1988,real_person,none,What is the 3rd year of the 11th president of the United States?,1847,False
Enzo Ferrari,1988,real_person,none,What is the 4th year of the 11th president of the United States?,1848,False
Enzo Ferrari,1988,real_person,none,What is the 5th year of the 11th president of the United States?,1849,False
Enzo Ferrari,1988,real_person,none,What is the 1st year of the 12th president of the United States?,1849,False
Enzo Ferrari,1988,real_person,none,What is the 2nd year of the 12th president of the United States?,1850,False
Enzo Ferrari,1988,real_person,none,What is the 1st year of the 13th president of the United States?,1850,False
Enzo Ferrari,1988,real_person,none,What is the 2nd year of the 13th president of the United States?,1851,False
Enzo Ferrari,1988,real_person,none,What is the 3rd year of the 13th president of the United States?,1852,False
Enzo Ferrari,1988,real_person,none,What is the 4th year of the 13th president of the United States?,1853,False
Enzo Ferrari,1988,real_person,none,What is the 1st year of the 14th president of the United States?,1853,False
Enzo Ferrari,1988,real_person,none,What is the 2nd year of the 14th president of the United States?,1854,False
Enzo Ferrari,1988,real_person,none,What is the 3rd year of the 14th president of the United States?,1855,False
Enzo Ferrari,1988,real_person,none,What is the 4th year of the 14th president of the United States?,1856,False
Enzo Ferrari,1988,real_person,none,What is the 5th year of the 14th president of the United States?,1857,False
Enzo Ferrari,1988,real_person,none,What is the 1st year of the 15th president of the United States?,1857,False
Enzo Ferrari,1988,real_person,none,What is the 2nd year of the 15th president of the United States?,1858,False
Enzo Ferrari,1988,real_person,none,What is the 3rd year of the 15th president of the United States?,1859,False
Enzo Ferrari,1988,real_person,none,What is the 4th year of the 15th president of the United States?,1860,False
Enzo Ferrari,1988,real_person,none,What is the 5th year of the 15th president of the United States?,1861,False
Enzo Ferrari,1988,real_person,none,What is the 1st year of the 16th president of the United States?,1861,False
Enzo Ferrari,1988,real_person,none,What is the 2nd year of the 16th president of the United States?,1862,False
Enzo Ferrari,1988,real_person,none,What is the 3rd year of the 16th president of the United States?,1863,False
Enzo Ferrari,1988,real_person,none,What is the 4th year of the 16th president of the United States?,1864,False
Enzo Ferrari,1988,real_person,none,What is the 5th year of the 16th president of the United States?,1865,False
Enzo Ferrari,1988,real_person,none,What is the 1st year of the 17th president of the United States?,1865,False
Enzo Ferrari,1988,real_person,none,What is the 2nd year of the 17th president of the United States?,1866,False
Enzo Ferrari,1988,real_person,none,What is the 3rd year of the 17th president of the United States?,1867,False
Enzo Ferrari,1988,real_person,none,What is the 4th year of the 17th president of the United States?,1868,False
Enzo Ferrari,1988,real_person,none,What is the 5th year of the 17th president of the United States?,1869,False
Enzo Ferrari,1988,real_person,none,What is the 1st year of the 18th president of the United States?,1869,False
Enzo Ferrari,1988,real_person,none,What is the 2nd year of the 18th president of the United States?,1870,False
Enzo Ferrari,1988,real_person,none,What is the 3rd year of the 18th president of the United States?,1871,False
Enzo Ferrari,1988,real_person,none,What is the 4th year of the 18th president of the United States?,1872,False
Enzo Ferrari,1988,real_person,none,What is the 5th year of the 18th president of the United States?,1873,False
Enzo Ferrari,1988,real_person,none,What is the 6th year of the 18th president of the United States?,1874,False
Enzo Ferrari,1988,real_person,none,What is the 7th year of the 18th president of the United States?,1875,False
Enzo Ferrari,1988,real_person,none,What is the 8th year of the 18th president of the United States?,1876,False
Enzo Ferrari,1988,real_person,none,What is the 9th year of the 18th president of the United States?,1877,False
Enzo Ferrari,1988,real_person,none,What is the 1st year of the 19th president of the United States?,1877,False
Enzo Ferrari,1988,real_person,none,What is the 2nd year of the 19th president of the United States?,1878,False
Enzo Ferrari,1988,real_person,none,What is the 3rd year of the 19th president of the United States?,1879,False
Enzo Ferrari,1988,real_person,none,What is the 4th year of the 19th president of the United States?,1880,False
Enzo Ferrari,1988,real_person,none,What is the 5th year of the 19th president of the United States?,1881,False
Enzo Ferrari,1988,real_person,none,What is the 1st year of the 20th president of the United States?,1881,False
Enzo Ferrari,1988,real_person,none,What is the 1st year of the 21th president of the United States?,1881,False
Enzo Ferrari,1988,real_person,none,What is the 2nd year of the 21th president of the United States?,1882,False
Enzo Ferrari,1988,real_person,none,What is the 3rd year of the 21th president of the United States?,1883,False
Enzo Ferrari,1988,real_person,none,What is the 4th year of the 21th president of the United States?,1884,False
Enzo Ferrari,1988,real_person,none,What is the 5th year of the 21th president of the United States?,1885,False
Enzo Ferrari,1988,real_person,none,What is the 1st year of the 22th president of the United States?,1885,False
Enzo Ferrari,1988,real_person,none,What is the 2nd year of the 22th president of the United States?,1886,False
Enzo Ferrari,1988,real_person,none,What is the 3rd year of the 22th president of the United States?,1887,False
Enzo Ferrari,1988,real_person,none,What is the 4th year of the 22th president of the United States?,1888,False
Enzo Ferrari,1988,real_person,none,What is the 5th year of the 22th president of the United States?,1889,False
Enzo Ferrari,1988,real_person,none,What is the 1st year of the 23th president of the United States?,1889,False
Enzo Ferrari,1988,real_person,none,What is the 2nd year of the 23th president of the United States?,1890,False
Enzo Ferrari,1988,real_person,none,What is the 3rd year of the 23th president of the United States?,1891,False
Enzo Ferrari,1988,real_person,none,What is the 4th year of the 23th president of the United States?,1892,False
Enzo Ferrari,1988,real_person,none,What is the 5th year of the 23th president of the United States?,1893,False
Enzo Ferrari,1988,real_person,none,What is the 1st year of the 24th president of the United States?,1893,False
Enzo Ferrari,1988,real_person,none,What is the 2nd year of the 24th president of the United States?,1894,False
Enzo Ferrari,1988,real_person,none,What is the 3rd year of the 24th president of the United States?,1895,False
Enzo Ferrari,1988,real_person,none,What is the 4th year of the 24th president of the United States?,1896,False
Enzo Ferrari,1988,real_person,none,What is the 5th year of the 24th president of the United States?,1897,False
Enzo Ferrari,1988,real_person,none,What is the 1st year of the 25th president of the United States?,1897,False
Enzo Ferrari,1988,real_person,none,What is the 2nd year of the 25th president of the United States?,1898,False
Enzo Ferrari,1988,real_person,none,What is the 3rd year of the 25th president of the United States?,1899,False
Enzo Ferrari,1988,real_person,none,What is the 4th year of the 25th president of the United States?,1900,False
Enzo Ferrari,1988,real_person,none,What is the 5th year of the 25th president of the United States?,1901,False
Enzo Ferrari,1988,real_person,none,What is the 1st year of the 26th president of the United States?,1901,False
Enzo Ferrari,1988,real_person,none,What is the 2nd year of the 26th president of the United States?,1902,False
Enzo Ferrari,1988,real_person,none,What is the 3rd year of the 26th president of the United States?,1903,False
Enzo Ferrari,1988,real_person,none,What is the 4th year of the 26th president of the United States?,1904,False
Enzo Ferrari,1988,real_person,none,What is the 5th year of the 26th president of the United States?,1905,False
Enzo Ferrari,1988,real_person,none,What is the 6th year of the 26th president of the United States?,1906,False
Enzo Ferrari,1988,real_person,none,What is the 7th year of the 26th president of the United States?,1907,False
Enzo Ferrari,1988,real_person,none,What is the 8th year of the 26th president of the United States?,1908,False
Enzo Ferrari,1988,real_person,none,What is the 9th year of the 26th president of the United States?,1909,False
Enzo Ferrari,1988,real_person,none,What is the 1st year of the 27th president of the United States?,1909,False
Enzo Ferrari,1988,real_person,none,What is the 2nd year of the 27th president of the United States?,1910,False
Enzo Ferrari,1988,real_person,none,What is the 3rd year of the 27th president of the United States?,1911,False
Enzo Ferrari,1988,real_person,none,What is the 4th year of the 27th president of the United States?,1912,False
Enzo Ferrari,1988,real_person,none,What is the 5th year of the 27th president of the United States?,1913,False
Enzo Ferrari,1988,real_person,none,What is the 1st year of the 28th president of the United States?,1913,False
Enzo Ferrari,1988,real_person,none,What is the 2nd year of the 28th president of the United States?,1914,False
Enzo Ferrari,1988,real_person,none,What is the 3rd year of the 28th president of the United States?,1915,False
Enzo Ferrari,1988,real_person,none,What is the 4th year of the 28th president of the United States?,1916,False
Enzo Ferrari,1988,real_person,none,What is the 5th year of the 28th president of the United States?,1917,False
Enzo Ferrari,1988,real_person,none,What is the 6th year of the 28th president of the United States?,1918,False
Enzo Ferrari,1988,real_person,none,What is the 7th year of the 28th president of the United States?,1919,False
Enzo Ferrari,1988,real_person,none,What is the 8th year of the 28th president of the United States?,1920,False
Enzo Ferrari,1988,real_person,none,What is the 9th year of the 28th president of the United States?,1921,False
Enzo Ferrari,1988,real_person,none,What is the 1st year of the 29th president of the United States?,1921,False
Enzo Ferrari,1988,real_person,none,What is the 2nd year of the 29th president of the United States?,1922,False
Enzo Ferrari,1988,real_person,none,What is the 3rd year of the 29th president of the United States?,1923,False
Enzo Ferrari,1988,real_person,none,What is the 1st year of the 30th president of the United States?,1923,False
Enzo Ferrari,1988,real_person,none,What is the 2nd year of the 30th president of the United States?,1924,False
Enzo Ferrari,1988,real_person,none,What is the 3rd year of the 30th president of the United States?,1925,False
Enzo Ferrari,1988,real_person,none,What is the 4th year of the 30th president of the United States?,1926,False
Enzo Ferrari,1988,real_person,none,What is the 5th year of the 30th president of the United States?,1927,False
Enzo Ferrari,1988,real_person,none,What is the 6th year of the 30th president of the United States?,1928,False
Enzo Ferrari,1988,real_person,none,What is the 7th year of the 30th president of the United States?,1929,False
Enzo Ferrari,1988,real_person,none,What is the 1st year of the 31th president of the United States?,1929,False
Enzo Ferrari,1988,real_person,none,What is the 2nd year of the 31th president of the United States?,1930,False
Enzo Ferrari,1988,real_person,none,What is the 3rd year of the 31th president of the United States?,1931,False
Enzo Ferrari,1988,real_person,none,What is the 4th year of the 31th president of the United States?,1932,False
Enzo Ferrari,1988,real_person,none,What is the 5th year of the 31th president of the United States?,1933,False
Enzo Ferrari,1988,real_person,none,What is the 1st year of the 32th president of the United States?,1933,False
Enzo Ferrari,1988,real_person,none,What is the 2nd year of the 32th president of the United States?,1934,False
Enzo Ferrari,1988,real_person,none,What is the 3rd year of the 32th president of the United States?,1935,False
Enzo Ferrari,1988,real_person,none,What is the 4th year of the 32th president of the United States?,1936,False
Enzo Ferrari,1988,real_person,none,What is the 5th year of the 32th president of the United States?,1937,False
Enzo Ferrari,1988,real_person,none,What is the 6th year of the 32th president of the United States?,1938,False
Enzo Ferrari,1988,real_person,none,What is the 7th year of the 32th president of the United States?,1939,False
Enzo Ferrari,1988,real_person,none,What is the 8th year of the 32th president of the United States?,1940,False
Enzo Ferrari,1988,real_person,none,What is the 9th year of the 32th president of the United States?,1941,False
Enzo Ferrari,1988,real_person,none,What is the 10th year of the 32th president of the United States?,1942,False
Enzo Ferrari,1988,real_person,none,What is the 11th year of the 32th president of the United States?,1943,False
Enzo Ferrari,1988,real_person,none,What is the 12th year of the 32th president of the United States?,1944,False
Enzo Ferrari,1988,real_person,none,What is the 13th year of the 32th president of the United States?,1945,False
Enzo Ferrari,1988,real_person,none,What is the 1st year of the 33th president of the United States?,1945,False
Enzo Ferrari,1988,real_person,none,What is the 2nd year of the 33th president of the United States?,1946,False
Enzo Ferrari,1988,real_person,none,What is the 3rd year of the 33th president of the United States?,1947,False
Enzo Ferrari,1988,real_person,none,What is the 4th year of the 33th president of the United States?,1948,False
Enzo Ferrari,1988,real_person,none,What is the 5th year of the 33th president of the United States?,1949,False
Enzo Ferrari,1988,real_person,none,What is the 6th year of the 33th president of the United States?,1950,False
Enzo Ferrari,1988,real_person,none,What is the 7th year of the 33th president of the United States?,1951,False
Enzo Ferrari,1988,real_person,none,What is the 8th year of the 33th president of the United States?,1952,False
Enzo Ferrari,1988,real_person,none,What is the 9th year of the 33th president of the United States?,1953,False
Enzo Ferrari,1988,real_person,none,What is the 1st year of the 34th president of the United States?,1953,False
Enzo Ferrari,1988,real_person,none,What is the 2nd year of the 34th president of the United States?,1954,False
Enzo Ferrari,1988,real_person,none,What is the 3rd year of the 34th president of the United States?,1955,False
Enzo Ferrari,1988,real_person,none,What is the 4th year of the 34th president of the United States?,1956,False
Enzo Ferrari,1988,real_person,none,What is the 5th year of the 34th president of the United States?,1957,False
Enzo Ferrari,1988,real_person,none,What is the 6th year of the 34th president of the United States?,1958,False
Enzo Ferrari,1988,real_person,none,What is the 7th year of the 34th president of the United States?,1959,False
Enzo Ferrari,1988,real_person,none,What is the 8th year of the 34th president of the United States?,1960,False
Enzo Ferrari,1988,real_person,none,What is the 9th year of the 34th president of the United States?,1961,False
Enzo Ferrari,1988,real_person,none,What is the 1st year of the 35th president of the United States?,1961,False
Enzo Ferrari,1988,real_person,none,What is the 2nd year of the 35th president of the United States?,1962,False
Enzo Ferrari,1988,real_person,none,What is the 3rd year of the 35th president of the United States?,1963,False
Enzo Ferrari,1988,real_person,none,What is the 1st year of the 36th president of the United States?,1963,False
Enzo Ferrari,1988,real_person,none,What is the 2nd year of the 36th president of the United States?,1964,False
Enzo Ferrari,1988,real_person,none,What is the 3rd year of the 36th president of the United States?,1965,False
Enzo Ferrari,1988,real_person,none,What is the 4th year of the 36th president of the United States?,1966,False
Enzo Ferrari,1988,real_person,none,What is the 5th year of the 36th president of the United States?,1967,False
Enzo Ferrari,1988,real_person,none,What is the 6th year of the 36th president of the United States?,1968,False
Enzo Ferrari,1988,real_person,none,What is the 7th year of the 36th president of the United States?,1969,False
Enzo Ferrari,1988,real_person,none,What is the 1st year of the 37th president of the United States?,1969,False
Enzo Ferrari,1988,real_person,none,What is the 2nd year of the 37th president of the United States?,1970,False
Enzo Ferrari,1988,real_person,none,What is the 3rd year of the 37th president of the United States?,1971,False
Enzo Ferrari,1988,real_person,none,What is the 4th year of the 37th president of the United States?,1972,False
Enzo Ferrari,1988,real_person,none,What is the 5th year of the 37th president of the United States?,1973,False
Enzo Ferrari,1988,real_person,none,What is the 6th year of the 37th president of the United States?,1974,False
Enzo Ferrari,1988,real_person,none,What is the 1st year of the 38th president of the United States?,1974,False
Enzo Ferrari,1988,real_person,none,What is the 2nd year of the 38th president of the United States?,1975,False
Enzo Ferrari,1988,real_person,none,What is the 3rd year of the 38th president of the United States?,1976,False
Enzo Ferrari,1988,real_person,none,What is the 4th year of the 38th president of the United States?,1977,False
Enzo Ferrari,1988,real_person,none,What is the 1st year of the 39th president of the United States?,1977,False
Enzo Ferrari,1988,real_person,none,What is the 2nd year of the 39th president of the United States?,1978,False
Enzo Ferrari,1988,real_person,none,What is the 3rd year of the 39th president of the United States?,1979,False
Enzo Ferrari,1988,real_person,none,What is the 4th year of the 39th president of the United States?,1980,False
Enzo Ferrari,1988,real_person,none,What is the 5th year of the 39th president of the United States?,1981,False
Enzo Ferrari,1988,real_person,none,What is the 1st year of the 40th president of the United States?,1981,False
Enzo Ferrari,1988,real_person,none,What is the 2nd year of the 40th president of the United States?,1982,False
Enzo Ferrari,1988,real_person,none,What is the 3rd year of the 40th president of the United States?,1983,False
Enzo Ferrari,1988,real_person,none,What is the 4th year of the 40th president of the United States?,1984,False
Enzo Ferrari,1988,real_person,none,What is the 5th year of the 40th president of the United States?,1985,False
Enzo Ferrari,1988,real_person,none,What is the 6th year of the 40th president of the United States?,1986,False
Enzo Ferrari,1988,real_person,none,What is the 7th year of the 40th president of the United States?,1987,False
Enzo Ferrari,1988,real_person,none,What is the 8th year of the 40th president of the United States?,1988,False
Enzo Ferrari,1988,real_person,none,What is the 9th year of the 40th president of the United States?,1989,False
Enzo Ferrari,1988,real_person,none,What is the 1st year of the 41th president of the United States?,1989,False
Enzo Ferrari,1988,real_person,none,What is the 2nd year of the 41th president of the United States?,1990,False
Enzo Ferrari,1988,real_person,none,What is the 3rd year of the 41th president of the United States?,1991,False
Enzo Ferrari,1988,real_person,none,What is the 4th year of the 41th president of the United States?,1992,False
Enzo Ferrari,1988,real_person,none,What is the 5th year of the 41th president of the United States?,1993,False
Enzo Ferrari,1988,real_person,none,What is the 1st year of the 42th president of the United States?,1993,False
Enzo Ferrari,1988,real_person,none,What is the 2nd year of the 42th president of the United States?,1994,False
Enzo Ferrari,1988,real_person,none,What is the 3rd year of the 42th president of the United States?,1995,False
Enzo Ferrari,1988,real_person,none,What is the 4th year of the 42th president of the United States?,1996,False
Enzo Ferrari,1988,real_person,none,What is the 5th year of the 42th president of the United States?,1997,False
Enzo Ferrari,1988,real_person,none,What is the 6th year of the 42th president of the United States?,1998,False
Enzo Ferrari,1988,real_person,none,What is the 7th year of the 42th president of the United States?,1999,False
Enzo Ferrari,1988,real_person,none,What is the 8th year of the 42th president of the United States?,2000,False
Enzo Ferrari,1988,real_person,none,What is the 9th year of the 42th president of the United States?,2001,False
Enzo Ferrari,1988,real_person,none,What is the 1st year of the 43th president of the United States?,2001,False
Enzo Ferrari,1988,real_person,none,What is the 2nd year of the 43th president of the United States?,2002,False
Enzo Ferrari,1988,real_person,none,What is the 3rd year of the 43th president of the United States?,2003,False
Enzo Ferrari,1988,real_person,none,What is the 4th year of the 43th president of the United States?,2004,False
Enzo Ferrari,1988,real_person,none,What is the 5th year of the 43th president of the United States?,2005,False
Enzo Ferrari,1988,real_person,none,What is the 6th year of the 43th president of the United States?,2006,False
Enzo Ferrari,1988,real_person,none,What is the 7th year of the 43th president of the United States?,2007,False
Enzo Ferrari,1988,real_person,none,What is the 8th year of the 43th president of the United States?,2008,False
Enzo Ferrari,1988,real_person,none,What is the 9th year of the 43th president of the United States?,2009,False
Enzo Ferrari,1988,real_person,none,What is the 1st year of the 44th president of the United States?,2009,False
Enzo Ferrari,1988,real_person,none,What is the 2nd year of the 44th president of the United States?,2010,False
Enzo Ferrari,1988,real_person,none,What is the 3rd year of the 44th president of the United States?,2011,False
Enzo Ferrari,1988,real_person,none,What is the 4th year of the 44th president of the United States?,2012,False
Enzo Ferrari,1988,real_person,none,What is the 5th year of the 44th president of the United States?,2013,False
Enzo Ferrari,1988,real_person,none,What is the 6th year of the 44th president of the United States?,2014,False
Enzo Ferrari,1988,real_person,none,What is the 7th year of the 44th president of the United States?,2015,False
Enzo Ferrari,1988,real_person,none,What is the 8th year of the 44th president of the United States?,2016,False
Enzo Ferrari,1988,real_person,none,What is the 9th year of the 44th president of the United States?,2017,False
Enzo Ferrari,1988,real_person,none,What is the 1st year of the 45th president of the United States?,2017,False
Enzo Ferrari,1988,real_person,none,What is the 2nd year of the 45th president of the United States?,2018,False
Enzo Ferrari,1988,real_person,none,What is the 3rd year of the 45th president of the United States?,2019,False
Enzo Ferrari,1988,real_person,none,What is the 4th year of the 45th president of the United States?,2020,False
Enzo Ferrari,1988,real_person,none,What is the 5th year of the 45th president of the United States?,2021,False
Ernest Hemingway,1961,real_person,none,What is the 1st year of the 1th president of the United States?,1789,False
Ernest Hemingway,1961,real_person,none,What is the 2nd year of the 1th president of the United States?,1790,False
Ernest Hemingway,1961,real_person,none,What is the 3rd year of the 1th president of the United States?,1791,False
Ernest Hemingway,1961,real_person,none,What is the 4th year of the 1th president of the United States?,1792,False
Ernest Hemingway,1961,real_person,none,What is the 5th year of the 1th president of the United States?,1793,False
Ernest Hemingway,1961,real_person,none,What is the 6th year of the 1th president of the United States?,1794,False
Ernest Hemingway,1961,real_person,none,What is the 7th year of the 1th president of the United States?,1795,False
Ernest Hemingway,1961,real_person,none,What is the 8th year of the 1th president of the United States?,1796,False
Ernest Hemingway,1961,real_person,none,What is the 9th year of the 1th president of the United States?,1797,False
Ernest Hemingway,1961,real_person,none,What is the 1st year of the 2th president of the United States?,1797,False
Ernest Hemingway,1961,real_person,none,What is the 2nd year of the 2th president of the United States?,1798,False
Ernest Hemingway,1961,real_person,none,What is the 3rd year of the 2th president of the United States?,1799,False
Ernest Hemingway,1961,real_person,none,What is the 4th year of the 2th president of the United States?,1800,False
Ernest Hemingway,1961,real_person,none,What is the 5th year of the 2th president of the United States?,1801,False
Ernest Hemingway,1961,real_person,none,What is the 1st year of the 3th president of the United States?,1801,False
Ernest Hemingway,1961,real_person,none,What is the 2nd year of the 3th president of the United States?,1802,False
Ernest Hemingway,1961,real_person,none,What is the 3rd year of the 3th president of the United States?,1803,False
Ernest Hemingway,1961,real_person,none,What is the 4th year of the 3th president of the United States?,1804,False
Ernest Hemingway,1961,real_person,none,What is the 5th year of the 3th president of the United States?,1805,False
Ernest Hemingway,1961,real_person,none,What is the 6th year of the 3th president of the United States?,1806,False
Ernest Hemingway,1961,real_person,none,What is the 7th year of the 3th president of the United States?,1807,False
Ernest Hemingway,1961,real_person,none,What is the 8th year of the 3th president of the United States?,1808,False
Ernest Hemingway,1961,real_person,none,What is the 9th year of the 3th president of the United States?,1809,False
Ernest Hemingway,1961,real_person,none,What is the 1st year of the 4th president of the United States?,1809,False
Ernest Hemingway,1961,real_person,none,What is the 2nd year of the 4th president of the United States?,1810,False
Ernest Hemingway,1961,real_person,none,What is the 3rd year of the 4th president of the United States?,1811,False
Ernest Hemingway,1961,real_person,none,What is the 4th year of the 4th president of the United States?,1812,False
Ernest Hemingway,1961,real_person,none,What is the 5th year of the 4th president of the United States?,1813,False
Ernest Hemingway,1961,real_person,none,What is the 6th year of the 4th president of the United States?,1814,False
Ernest Hemingway,1961,real_person,none,What is the 7th year of the 4th president of the United States?,1815,False
Ernest Hemingway,1961,real_person,none,What is the 8th year of the 4th president of the United States?,1816,False
Ernest Hemingway,1961,real_person,none,What is the 9th year of the 4th president of the United States?,1817,False
Ernest Hemingway,1961,real_person,none,What is the 1st year of the 5th president of the United States?,1817,False
Ernest Hemingway,1961,real_person,none,What is the 2nd year of the 5th president of the United States?,1818,False
Ernest Hemingway,1961,real_person,none,What is the 3rd year of the 5th president of the United States?,1819,False
Ernest Hemingway,1961,real_person,none,What is the 4th year of the 5th president of the United States?,1820,False
Ernest Hemingway,1961,real_person,none,What is the 5th year of the 5th president of the United States?,1821,False
Ernest Hemingway,1961,real_person,none,What is the 6th year of the 5th president of the United States?,1822,False
Ernest Hemingway,1961,real_person,none,What is the 7th year of the 5th president of the United States?,1823,False
Ernest Hemingway,1961,real_person,none,What is the 8th year of the 5th president of the United States?,1824,False
